,dtTrade,Strike,dtExpiry,Type,Spot,Style,PBid,PAsk,IVBid,IVAsk,IVMid,QuickDelta,iRate,dRate,ATMVol,Fwd
0,2011-01-24,1290.0,2011-02-19,C,1290.59,Euro,26.0,29.8,0.19787391748889455,0.225603149081448,0.21173853328517128,0.4875416640926578,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
1,2011-01-24,1295.0,2011-02-19,C,1290.59,Euro,23.3,27.0,0.19498775551604988,0.22206139006325534,0.20852457278965264,0.4606880100752157,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
2,2011-01-24,1300.0,2011-02-19,C,1290.59,Euro,20.6,23.0,0.19098225841984048,0.20869850710239726,0.19984038276111885,0.4341148149701412,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
3,2011-01-24,1305.0,2011-02-19,C,1290.59,Euro,18.6,21.5,0.1910272414211452,0.212713271486588,0.20187025645386655,0.4079363279516737,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
4,2011-01-24,1310.0,2011-02-19,C,1290.59,Euro,16.2,19.2,0.1869041331731809,0.20979312539401448,0.19834862928359764,0.3822602893148067,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
5,2011-01-24,1315.0,2011-02-19,C,1290.59,Euro,14.0,17.0,0.1830182638329218,0.20653463087102564,0.19477644735197366,0.3571867161918881,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
6,2011-01-24,1320.0,2011-02-19,C,1290.59,Euro,12.0,15.0,0.17935701765921314,0.20369333979496584,0.19152517872708946,0.3328068747674769,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
7,2011-01-24,1325.0,2011-02-19,C,1290.59,Euro,10.3,12.0,0.17679241925807165,0.19128178936567067,0.18403710431187115,0.3092024524041368,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
8,2011-01-24,1330.0,2011-02-19,C,1290.59,Euro,9.3,11.2,0.1791345054821871,0.1959517404120828,0.18754312294713493,0.2864449371113708,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
9,2011-01-24,1335.0,2011-02-19,C,1290.59,Euro,7.8,9.7,0.17577092585635076,0.19358553763490008,0.18467823174562545,0.2645952059641338,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
10,2011-01-24,1340.0,2011-02-19,C,1290.59,Euro,6.5,7.5,0.1728060582561257,0.1829791213907256,0.17789258982342565,0.2437033185959554,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
11,2011-01-24,1345.0,2011-02-19,C,1290.59,Euro,5.3,7.2,0.16925984032326438,0.18978718320013946,0.17952351176170192,0.2238085069164107,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
12,2011-01-24,1350.0,2011-02-19,C,1290.59,Euro,5.3,5.6,0.17836802176251054,0.1818353615177825,0.18010169164014656,0.2049393478625325,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
25,2011-01-24,1290.0,2011-03-16,C,1290.59,Euro,34.9,38.7,0.1907946112125856,0.2106168818394836,0.20070574652603465,0.4857220941606367,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
26,2011-01-24,1300.0,2011-03-16,C,1290.59,Euro,29.4,33.2,0.18548225228929155,0.2054172307587384,0.19544974152401492,0.4452032131214509,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
27,2011-01-24,1310.0,2011-03-16,C,1290.59,Euro,24.2,27.9,0.17930597014501587,0.19908326896467235,0.18919461955484407,0.4055522896692485,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
28,2011-01-24,1320.0,2011-03-16,C,1290.59,Euro,20.1,23.1,0.17648065070958113,0.1930495393689544,0.18476509503926772,0.3671380296264952,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
29,2011-01-24,1325.0,2011-03-16,C,1290.59,Euro,18.1,21.1,0.1743664838396229,0.1913031437282324,0.18283481378392766,0.34849797338027844,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
30,2011-01-24,1330.0,2011-03-16,C,1290.59,Euro,16.1,19.1,0.17153925732409753,0.1889376725622733,0.18023846494318546,0.33028491357317524,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
31,2011-01-24,1340.0,2011-03-16,C,1290.59,Euro,12.7,15.7,0.16720891499539986,0.18578163538842127,0.1764952751919106,0.2952666120953405,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
32,2011-01-24,1350.0,2011-03-16,C,1290.59,Euro,10.0,11.4,0.16437138533923756,0.173908050746407,0.16913971804282227,0.2623019246204477,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
33,2011-01-24,1360.0,2011-03-16,C,1290.59,Euro,7.8,9.7,0.16212944051587252,0.17631920134734513,0.16922432093160886,0.23155319176151684,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
34,2011-01-24,1370.0,2011-03-16,C,1290.59,Euro,5.6,7.4,0.15655621430089153,0.1719473572329223,0.16425178576690694,0.20312699578092008,0.005435371302256962,0.028104815976949412,0.2025460469348388,1286.5085088981216
45,2011-01-24,1300.0,2011-04-21,C,1290.59,Euro,38.5,42.2,0.1828158742768175,0.19768005181044027,0.1902479630436289,0.4494824075683283,0.005289771179276368,0.025936344723006436,0.19658511667238865,1284.2543018757256
46,2011-01-24,1325.0,2011-04-21,C,1290.59,Euro,26.3,29.9,0.1721145950378946,0.18724627259526172,0.17968043381657814,0.3724252065925875,0.005289771179276368,0.025936344723006436,0.19658511667238865,1284.2543018757256
47,2011-01-24,1350.0,2011-04-21,C,1290.59,Euro,17.1,20.1,0.1640841806442043,0.17810333185102598,0.17109375624761514,0.3014639036645468,0.005289771179276368,0.025936344723006436,0.19658511667238865,1284.2543018757256
48,2011-01-24,1375.0,2011-04-21,C,1290.59,Euro,10.2,13.1,0.15592322724640276,0.17208440845540454,0.16400381785090365,0.2384247231124467,0.005289771179276368,0.025936344723006436,0.19658511667238865,1284.2543018757256
53,2011-01-24,1300.0,2011-05-18,C,1290.59,Euro,44.8,46.9,0.1846505069368584,0.1920266375061567,0.1883385722215076,0.4513603644527764,0.004818019679906448,0.0248187747173334,0.19780634386026955,1282.55305675057
54,2011-01-24,1325.0,2011-05-18,C,1290.59,Euro,32.6,36.3,0.17585070417858234,0.1892845854554322,0.18256764481700727,0.38417494775246336,0.004818019679906448,0.0248187747173334,0.19780634386026955,1282.55305675057
55,2011-01-24,1350.0,2011-05-18,C,1290.59,Euro,22.6,26.4,0.16765921488771665,0.18255946451288035,0.17510933970029852,0.321459317510255,0.004818019679906448,0.0248187747173334,0.19780634386026955,1282.55305675057
56,2011-01-24,1365.0,2011-05-18,C,1290.59,Euro,17.9,20.9,0.16403658425839893,0.1766707830970738,0.17035368367773635,0.2865206432314691,0.004818019679906448,0.0248187747173334,0.19780634386026955,1282.55305675057
57,2011-01-24,1375.0,2011-05-18,C,1290.59,Euro,14.9,17.9,0.16048037696683576,0.1738925187654652,0.1671864478661505,0.2644758131971371,0.004818019679906448,0.0248187747173334,0.19780634386026955,1282.55305675057
58,2011-01-24,1400.0,2011-05-18,C,1290.59,Euro,9.5,11.0,0.15532894248448076,0.16349462359553954,0.15941178304001016,0.21400500845592207,0.004818019679906448,0.0248187747173334,0.19780634386026955,1282.55305675057
65,2011-01-24,1300.0,2011-08-17,C,1290.59,Euro,63.5,67.2,0.19303054717562235,0.20275149079361585,0.19789101898461908,0.4548400631528668,0.004739219128646268,0.02269310616981798,0.20405952973447156,1277.6414846710147
66,2011-01-24,1325.0,2011-08-17,C,1290.59,Euro,50.7,54.4,0.18535931509226705,0.195237147019333,0.1902982310558,0.4059411146769175,0.004739219128646268,0.02269310616981798,0.20405952973447156,1277.6414846710147
67,2011-01-24,1350.0,2011-08-17,C,1290.59,Euro,39.7,43.5,0.17870538965244065,0.18924084944506187,0.18397311954875128,0.35933878405115843,0.004739219128646268,0.02269310616981798,0.20405952973447156,1277.6414846710147
68,2011-01-24,1375.0,2011-08-17,C,1290.59,Euro,30.3,34.1,0.17244975641172314,0.18366316488826054,0.17805646064999187,0.3155382821558006,0.004739219128646268,0.02269310616981798,0.20405952973447156,1277.6414846710147
69,2011-01-24,1400.0,2011-08-17,C,1290.59,Euro,22.4,26.1,0.16631237753861824,0.1782635310723404,0.17228795430547933,0.27490812870101344,0.004739219128646268,0.02269310616981798,0.20405952973447156,1277.6414846710147
70,2011-01-24,1425.0,2011-08-17,C,1290.59,Euro,16.2,19.2,0.16118728609854266,0.17213583961299125,0.16666156285576694,0.23768366776916736,0.004739219128646268,0.02269310616981798,0.20405952973447156,1277.6414846710147
71,2011-01-24,1450.0,2011-08-17,C,1290.59,Euro,11.0,14.1,0.15483617005648706,0.16806643689792708,0.16145130347720704,0.20397734233343484,0.004739219128646268,0.02269310616981798,0.20405952973447156,1277.6414846710147
79,2011-01-24,1275.0,2011-11-17,C,1290.59,Euro,89.09999999999998,96.8,0.19804273984328505,0.21498518918394052,0.2065139645136128,0.496012824123137,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
80,2011-01-24,1300.0,2011-11-17,C,1290.59,Euro,75.4,83.09999999999998,0.1919472936254444,0.20883789888876916,0.2003925962571068,0.4547548427564605,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
81,2011-01-24,1325.0,2011-11-17,C,1290.59,Euro,62.8,70.40000000000002,0.18584803006030967,0.20268388127348894,0.1942659556668993,0.4147492284567945,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
82,2011-01-24,1350.0,2011-11-17,C,1290.59,Euro,51.4,59.1,0.17983735007827353,0.19731302485596244,0.188575187467118,0.37633076144990535,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
83,2011-01-24,1375.0,2011-11-17,C,1290.59,Euro,41.2,48.8,0.17381051572112238,0.1917745071342132,0.18279251142766775,0.3397711272865376,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
84,2011-01-24,1400.0,2011-11-17,C,1290.59,Euro,32.4,40.1,0.16819293872108332,0.18747510229144745,0.1778340205062654,0.3052784289649735,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
85,2011-01-24,1425.0,2011-11-17,C,1290.59,Euro,24.5,32.4,0.16166521642729126,0.18307552308696406,0.17237036975712766,0.27299926414375664,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
86,2011-01-24,1450.0,2011-11-17,C,1290.59,Euro,18.9,25.2,0.158352697358008,0.1771916542512573,0.16777217580463266,0.24302282076629586,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
87,2011-01-24,1475.0,2011-11-17,C,1290.59,Euro,13.6,19.9,0.15262923108239287,0.17391651683022993,0.1632728739563114,0.21538643805559748,0.005161689549942965,0.02239838871993931,0.20766007651235124,1272.6152049071954
99,2011-01-24,1275.0,2012-05-16,C,1290.59,Euro,110.7,118.2,0.2022719286960456,0.21542311031310465,0.20884751950457514,0.4859386776408497,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
100,2011-01-24,1300.0,2012-05-16,C,1290.59,Euro,97.2,104.8,0.19699851968120208,0.21027854968420834,0.2036385346827052,0.4540587194315466,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
101,2011-01-24,1325.0,2012-05-16,C,1290.59,Euro,84.7,92.3,0.19203046292443784,0.20536822343855907,0.19869934318149848,0.4230698939473768,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
102,2011-01-24,1350.0,2012-05-16,C,1290.59,Euro,73.09999999999998,80.79999999999998,0.18713647641120354,0.20082392757204234,0.1939802019916229,0.3931151791579646,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
103,2011-01-24,1375.0,2012-05-16,C,1290.59,Euro,62.3,69.9,0.18208653138150335,0.1959004355639242,0.18899348347271375,0.3643122559534897,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
104,2011-01-24,1400.0,2012-05-16,C,1290.59,Euro,52.7,60.4,0.1775782124244792,0.19202548545986015,0.18480184894216967,0.3367542018676844,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
105,2011-01-24,1425.0,2012-05-16,C,1290.59,Euro,43.9,51.6,0.1728596946907898,0.18793876192318407,0.18039922830698693,0.31051069410565685,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
106,2011-01-24,1450.0,2012-05-16,C,1290.59,Euro,35.8,43.7,0.16767555534752274,0.1840241665021556,0.17584986092483915,0.28562960104933416,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
107,2011-01-24,1475.0,2012-05-16,C,1290.59,Euro,28.9,36.8,0.16306550998400493,0.1805458185911807,0.1718056642875928,0.2621388500204225,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
108,2011-01-24,1500.0,2012-05-16,C,1290.59,Euro,22.8,30.7,0.1582179278142664,0.17717622197202812,0.16769707489314728,0.2400484706233761,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
109,2011-01-24,1550.0,2012-05-16,C,1290.59,Euro,14.1,20.4,0.15134201857403026,0.16983465321941102,0.1605883358967206,0.20003226007006808,0.006430631917115122,0.022231985394736028,0.2116816816747964,1264.1578873557958
119,2011-01-24,1275.0,2012-11-22,C,1290.59,Euro,130.3,137.9,0.20552992854970725,0.2169424055905356,0.21123616707012144,0.4828209511680148,0.008381068564934275,0.021856792492500686,0.214665211955919,1259.1502105762027
120,2011-01-24,1300.0,2012-11-22,C,1290.59,Euro,117.0,124.6,0.20086049702288947,0.21222078600064967,0.2065406415117696,0.4562283062338047,0.008381068564934275,0.021856792492500686,0.214665211955919,1259.1502105762027
121,2011-01-24,1350.0,2012-11-22,C,1290.59,Euro,92.7,100.4,0.19194521980763093,0.2035442183709892,0.19774471908931004,0.40520459095748496,0.008381068564934275,0.021856792492500686,0.214665211955919,1259.1502105762027
122,2011-01-24,1400.0,2012-11-22,C,1290.59,Euro,73.4,79.4,0.18641480187250756,0.19574187165769014,0.1910783367650989,0.35750750111357565,0.008381068564934275,0.021856792492500686,0.214665211955919,1259.1502105762027
123,2011-01-24,1450.0,2012-11-22,C,1290.59,Euro,53.4,61.1,0.17521538125466654,0.1879592411017416,0.18158731117820406,0.3134959479915988,0.008381068564934275,0.021856792492500686,0.214665211955919,1259.1502105762027
124,2011-01-24,1500.0,2012-11-22,C,1290.59,Euro,38.3,46.0,0.16704220229848796,0.18104087647432326,0.17404153938640565,0.2733527575372397,0.008381068564934275,0.021856792492500686,0.214665211955919,1259.1502105762027
125,2011-01-24,1550.0,2012-11-22,C,1290.59,Euro,26.1,34.0,0.15880383611371393,0.17516446516005854,0.16698415063688626,0.23711455809324894,0.008381068564934275,0.021856792492500686,0.214665211955919,1259.1502105762027
126,2011-01-24,1600.0,2012-11-22,C,1290.59,Euro,17.5,23.8,0.15264159286703094,0.16810963709082402,0.16037561497892747,0.2047026188994634,0.008381068564934275,0.021856792492500686,0.214665211955919,1259.1502105762027
139,2011-01-24,1275.0,2013-11-21,C,1290.59,Euro,162.5,170.4,0.21126264350740515,0.2210919899037522,0.21617731670557866,0.48306223880276794,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
140,2011-01-24,1300.0,2013-11-21,C,1290.59,Euro,149.7,157.6,0.2074029938830905,0.21716968481464746,0.21228633934886895,0.4621136349918384,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
141,2011-01-24,1325.0,2013-11-21,C,1290.59,Euro,137.5,145.4,0.20368658618603305,0.2134241055449632,0.20855534586549807,0.44166535103222215,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
142,2011-01-24,1350.0,2013-11-21,C,1290.59,Euro,125.9,133.6,0.2000973466412546,0.20959360366351296,0.2048454751523838,0.42174901319704894,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
143,2011-01-24,1375.0,2013-11-21,C,1290.59,Euro,114.9,122.6,0.19662258391976606,0.20615911159469574,0.2013908477572309,0.40239062785476976,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
144,2011-01-24,1400.0,2013-11-21,C,1290.59,Euro,104.4,112.1,0.19312780688455106,0.20274176695375304,0.19793478691915206,0.3836109482150738,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
145,2011-01-24,1425.0,2013-11-21,C,1290.59,Euro,94.5,102.2,0.1897287651330969,0.19945955712255686,0.19459416112782685,0.3654258565065464,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
146,2011-01-24,1450.0,2013-11-21,C,1290.59,Euro,85.29999999999998,93.0,0.18655025901201616,0.19643895645315096,0.1914946077325836,0.34784675325203795,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
147,2011-01-24,1475.0,2013-11-21,C,1290.59,Euro,76.5,84.2,0.18320468560148845,0.19329923146620406,0.18825195853384627,0.3308809466701668,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
148,2011-01-24,1500.0,2013-11-21,C,1290.59,Euro,68.2,75.79999999999998,0.179811709039988,0.19003167923823344,0.18492169413911072,0.3145320364756434,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
149,2011-01-24,1525.0,2013-11-21,C,1290.59,Euro,60.7,68.3,0.17678482238177198,0.18731090375028345,0.1820478630660277,0.2988002874710147,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
150,2011-01-24,1550.0,2013-11-21,C,1290.59,Euro,53.8,61.5,0.1738751880460491,0.18490711611599056,0.17939115208101986,0.28368298931698066,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
151,2011-01-24,1600.0,2013-11-21,C,1290.59,Euro,41.3,49.0,0.1677136831260416,0.17971477135172625,0.1737142272388839,0.25526806919625844,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
152,2011-01-24,1650.0,2013-11-21,C,1290.59,Euro,30.7,38.6,0.16136359355947466,0.17505884586104867,0.16821121971026165,0.2292186586279145,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
153,2011-01-24,1700.0,2013-11-21,C,1290.59,Euro,22.4,30.3,0.1557727443432535,0.1713035998126448,0.16353817207794913,0.205438477939082,0.013055879341205171,0.02289509893202513,0.21937671507341666,1255.1813895442194
